"state","county","flyway","flock_type","species","subtype","date","flock_size"
"South Dakota","McCook","Central","Commercial","turkey","EA/AM-H5N2",2015-04-10,54700
"North Dakota","Dickey","Central","Commercial","turkey","EA/AM-H5N2",2015-04-10,40000
"Minnesota","Watonwan","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-09,30000
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-09,45000
"Minnesota","Lyon","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-09,66000
"Minnesota","Cottonwood","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-09,48000
"South Dakota","Kingsbury","Central","Commercial","turkey","EA/AM-H5N2",2015-04-08,71900
"Minnesota","Meeker","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-07,310000
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-07,30000
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-04,76000
"Minnesota","Kandiyohi","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-04,26500
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-02,71000
"Minnesota","Nobles","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-04-02,21000
"Montana","Judith Basin","Central","Backyard","mixed poultry","EA/AM-H5N2",2015-04-02,40
"South Dakota","Beadle","Central","Commercial","turkey","EA/AM-H5N2",2015-04-01,50600
"Minnesota","Stearns","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-03-28,39000
"Minnesota","Lac Qui Parle","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-03-27,66000
"Kansas","Leavenworth","Central","Backyard","mixed poultry","EA/AM-H5N2",2015-03-13,10
"Arkansas","Boone","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-03-11,40020
"Missouri","Moniteau","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-03-10,23000
"Missouri","Jasper","Mississippi","Commercial","turkey","EA/AM-H5N2",2015-03-09,30100
